"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: base","Param: distribution","Param: indexType","Param: max","Param: seed"
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:count","avgt",1,5,1035.000000,NaN,"#",16,EXP(0.0001),RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:size","avgt",1,5,346168970.000000,NaN,"#",16,EXP(0.0001),RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild","avgt",1,5,26022913.408400,3777522.603492,"us/op",16,EXP(0.0001),TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:count","avgt",1,5,1035.000000,NaN,"#",16,EXP(0.0001),TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:size","avgt",1,5,346168970.000000,NaN,"#",16,EXP(0.0001),TRIMMED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild","avgt",1,5,15084749.957000,646535.844712,"us/op",16,EXP(0.0001),UNCOMPRESSED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:count","avgt",1,5,1035.000000,NaN,"#",16,EXP(0.0001),UNCOMPRESSED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.basedBuild:size","avgt",1,5,1293749855.000000,NaN,"#",16,EXP(0.0001),UNCOMPRESSED,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.rangeBitmapBuild","avgt",1,5,1980905.198600,31979.470947,"us/op",2,"NORMAL(100000,10)",RANGEBITMAP,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.rangeBitmapBuild:count","avgt",1,5,120.000000,NaN,"#",2,"NORMAL(100000,10)",RANGEBITMAP,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.rangeBitmapBuild:size","avgt",1,5,38034015.000000,NaN,"#",2,"NORMAL(100000,10)",RANGEBITMAP,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.rangeBitmapBuild","avgt",1,5,4142499.989200,28879.628583,"us/op",2,"UNIFORM(0,100000)",RANGEBITMAP,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.rangeBitmapBuild:count","avgt",1,5,120.000000,NaN,"#",2,"UNIFORM(0,100000)",RANGEBITMAP,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.rangeBitmapBuild:size","avgt",1,5,106615805.000000,NaN,"#",2,"UNIFORM(0,100000)",RANGEBITMAP,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.rangeBitmapBuild","avgt",1,5,4856072.895400,36323.366788,"us/op",2,"UNIFORM(1000000,1100000)",RANGEBITMAP,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.rangeBitmapBuild:count","avgt",1,5,120.000000,NaN,"#",2,"UNIFORM(1000000,1100000)",RANGEBITMAP,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.rangeBitmapBuild:size","avgt",1,5,131671085.000000,NaN,"#",2,"UNIFORM(1000000,1100000)",RANGEBITMAP,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.rangeBitmapBuild","avgt",1,5,4797597.062000,28944.008095,"us/op",2,EXP(0.0001),RANGEBITMAP,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.rangeBitmapBuild:count","avgt",1,5,120.000000,NaN,"#",2,EXP(0.0001),RANGEBITMAP,10000000,42
"io.github.richardstartin.rangeindex.BuildBenchmark.rangeBitmapBuild:size","avgt",1,5,100624805.000000,NaN,"#",2,EXP(0.0001),RANGEBITMAP,10000000,42
"io.github.richardstartin.rangeindex.LTEBenchmark.based","avgt",1,5,1355.099428,191.948760,"us/op",2,"NORMAL(100000,10)",RELATIVE,10000000,42
"io.github.richardstartin.rangeindex.LTEBenchmark.based","avgt",1,5,5103.872023,51.748535,"us/op",2,"NORMAL(100000,10)",TRIMMED,10000000,42
